fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,texto_matricula
229,car,0.5885193943977356,5,1366,322,1398,357,N/A,N/A
229,car,0.5805971622467041,6,1344,322,1381,352,N/A,N/A
230,person,0.7216338515281677,3,503,270,550,420,N/A,N/A
230,car,0.5957870483398438,4,1429,323,1508,379,N/A,N/A
230,car,0.5841884613037109,5,1366,322,1398,357,N/A,N/A
230,car,0.5715717077255249,6,1344,322,1382,352,N/A,N/A
231,person,0.6052742004394531,3,505,272,553,420,N/A,N/A
231,car,0.5687248706817627,4,1429,323,1507,379,N/A,N/A
231,car,0.5980028510093689,5,1365,322,1398,357,N/A,N/A
231,car,0.5629178285598755,6,1344,322,1383,352,N/A,N/A
